run_id,function,method,n,p,q,rep,seed_data,seed_model,status,error,train_time_sec,pred_time_sec,nit,njev,nfev,rmse,coverage_95,interval_len_95,dss_diag,dss_full
run_4230645971,borehole,LCGP,400,4,3,1,2932496933,1107514266,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,8.84095470799366,0.2937828750000335,160,175,175,43.767960572873136,0.974,132.6810088648895,27.11023115349354,
run_4230645971,borehole,MOOGP,400,4,3,2,1657819395,2902066866,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,74.64533504197607,0.0635469580302015,255,283,283,24.577846642597535,0.945,73.60082035313818,23.17837324429966,
run_4230645971,borehole,LCGP,400,4,3,2,1657819395,3063637162,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.459447208035272,0.20964537502732128,240,257,257,24.763654617216332,0.982,102.0202711485894,24.088554177670932,
run_4230645971,borehole,MOOGP,400,4,3,3,3606504446,3079471383,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,60.07098041701829,0.06688091700198129,195,224,224,41.26284084742801,0.947,111.80166614152213,24.466475091427945,
run_4230645971,borehole,LCGP,400,4,3,3,3606504446,4102626251,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,5.579667416983284,0.20752708305371925,96,108,108,41.717228215631955,0.985,146.87792590472017,25.280934262995068,
run_4230645971,borehole,MOOGP,400,4,3,4,381806908,1921801343,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,45.70193658297649,0.06090604199562222,157,177,177,28.309587903321574,0.939,84.18003363349504,23.34285365936717,
run_4230645971,borehole,LCGP,400,4,3,4,381806908,2349585575,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,14.12952029099688,0.2242082089651376,284,297,297,29.296484507477846,0.98,115.730592394687,24.15640492948437,
run_4230645971,borehole,MOOGP,400,4,3,5,3739807078,582565458,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,77.72624770802213,0.055070375034119934,272,302,302,39.64241489285673,0.937,91.4634102616847,23.96682128507652,
run_4230645971,borehole,LCGP,400,4,3,5,3739807078,1424649486,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,5.359170250012539,0.21792408300098032,89,100,100,44.801219806660086,0.976,127.25763585317135,25.18288818267508,
run_4230645971,borehole,MOOGP,800,4,3,1,1752362017,2143324710,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,148.31845625001006,0.17049958399729803,83,101,101,41.872032896520565,0.943,108.42021850616933,24.21373549705224,
run_4230645971,borehole,LCGP,800,4,3,1,1752362017,1970748737,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,155.91532683302648,0.777498250012286,448,497,497,43.57984416414669,0.968,127.57429580987368,24.519693348346753,
run_4230645971,borehole,MOOGP,800,4,3,2,790452897,2816232251,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,338.6031062910333,0.12936016696039587,201,232,232,24.81448643785026,0.956,73.27385643625401,22.709953634336202,
run_4230645971,borehole,LCGP,800,4,3,2,790452897,3966204936,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,74.28385879198322,0.7317674579680897,205,232,232,24.83404898161413,0.979,85.64233128018704,22.889037738803133,
run_3532236594,borehole,MOOGP,100,4,3,1,3681670825,1875810247,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11.345328625000548,0.017089041997678578,243,291,291,22.090177912510836,0.916,57.450667574895334,23.04278583400116,
run_3532236594,borehole,LCGP,100,4,3,1,3681670825,2471040295,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.4690321660018526,0.11568754201289266,100,108,108,37.15696083181177,0.967,159.52667861102728,28.173907809909476,
run_3532236594,borehole,MOOGP,100,4,3,2,1490663890,1825793481,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9.416203209024388,0.01629758399212733,207,239,239,31.32313476278954,0.938,85.3700693765627,23.931460579946965,
