run_id,function,method,n,p,q,rep,seed_data,seed_model,status,error,train_time_sec,pred_time_sec,rmse,coverage_95,interval_len_95,dss_diag,dss_full
run_1193430848,borehole,LCGP,100,4,3,1,2650336551,2796149472,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.923844041011762,0.11549141601426527,62.4127318011596,0.958,197.52141508744984,30.036003418888846,
run_1193430848,borehole,OILMM,100,4,3,1,2650336551,3296554156,ok,,11.03842924995115,0.030977124988567084,37.85218847176073,0.939,110.08721468726299,26.587312988251636,
run_1193430848,borehole,LCGP,100,4,3,2,1145757999,2212375839,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.344118207984138,0.10990766697796062,83.15687786702631,0.958,297.21415771334074,31.663739592307344,
run_1193430848,borehole,OILMM,100,4,3,2,1145757999,3091677748,ok,,5.214354499999899,0.03111954202177003,73.8860294658,0.888,155.71663544566178,29.449148482068278,
run_1193430848,borehole,LCGP,100,4,3,3,4099154498,4068296366,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.8254758330294862,0.11003804102074355,75.90850650956781,0.96,257.99920925579914,31.078610847707626,
run_1193430848,borehole,OILMM,100,4,3,3,4099154498,3921035790,ok,,4.969367666984908,0.03070829197531566,55.796353970284336,0.938,135.78554504865122,28.143933256702628,
run_1193430848,borehole,LCGP,100,4,3,4,2415601034,1929977022,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.3507896669907495,0.10803533403668553,107.2484555521715,0.966,360.36924589737504,31.057590687694262,
run_1193430848,borehole,OILMM,100,4,3,4,2415601034,2890374917,ok,,4.8750993750290945,0.031058083986863494,74.35675254979347,0.954,196.80029523381432,27.9052734587329,
run_1193430848,borehole,LCGP,100,4,3,5,1230508144,2300432244,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.2670530419563875,0.1081525000045076,69.21010199714901,0.941,196.22844360862413,31.94264034888423,
run_1193430848,borehole,OILMM,100,4,3,5,1230508144,1724686682,ok,,4.431738833955023,0.03116641700034961,50.58850127249735,0.898,103.96925788695826,30.297772729479483,
run_1193430848,borehole,LCGP,100,4,3,6,459471486,232445242,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.366931874945294,0.10957366699585691,78.17499663998973,0.956,241.12011284333636,29.88804900897222,
run_1193430848,borehole,OILMM,100,4,3,6,459471486,3940613173,ok,,5.662644374999218,0.03550487500615418,56.405226234194124,0.949,146.0533335081141,26.92195684163516,
run_1193430848,borehole,LCGP,100,4,3,7,3629934658,2587194813,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.3316898749908432,0.11133337498176843,60.30943221594813,0.962,219.3860694878887,31.778571511345454,
run_1193430848,borehole,OILMM,100,4,3,7,3629934658,1830622641,ok,,3.701552792044822,0.031522916979156435,37.088030195807605,0.923,101.33188556624624,27.957193615055463,
run_1193430848,borehole,LCGP,100,4,3,8,3657994836,3894172290,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.271299749962054,0.11255237500881776,53.85067609150627,0.957,195.25021939287979,28.618417126259693,
run_1193430848,borehole,OILMM,100,4,3,8,3657994836,2696893609,ok,,5.258743875019718,0.03099262499017641,45.628702170827786,0.909,106.45783195807331,26.78446739993585,
run_1193430848,borehole,LCGP,100,4,3,9,3208103796,1849692506,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.594230541959405,0.11148120800498873,85.92287366793397,0.965,263.14470585729975,31.22159094790467,
run_1193430848,borehole,OILMM,100,4,3,9,3208103796,698470567,ok,,5.5805863330024295,0.03173054096987471,64.85323690527676,0.925,147.0864986774014,29.07694615002573,
run_1193430848,borehole,LCGP,100,4,3,10,3212630441,2001944957,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.3351435830118135,0.1806291249813512,62.62680647935115,0.968,237.82800687933488,27.892333861514185,
run_1193430848,borehole,OILMM,100,4,3,10,3212630441,2412867654,ok,,3.799123500008136,0.031238875002600253,49.395459859593565,0.952,131.22656534683884,24.920144371274755,
run_1193430848,borehole,LCGP,500,4,3,1,417331753,2564651758,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,26.48762454203097,0.27473145799012855,50.02964546245853,0.983,174.3439267361171,25.545798193438387,
run_1193430848,borehole,OILMM,500,4,3,1,417331753,1096412013,ok,,5.1128406670177355,0.04480379098095,54.68235230418264,0.94,154.0246824396859,26.118096411507466,
run_1193430848,borehole,LCGP,500,4,3,2,1110668999,985933077,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11.76289995800471,0.27594433299964294,36.594859543636076,0.975,107.87333543976692,22.053699630823964,
run_1193430848,borehole,OILMM,500,4,3,2,1110668999,3410096994,ok,,4.40801720804302,0.04277258296497166,42.40982041273544,0.948,102.4728907296539,22.975166744424314,
run_1193430848,borehole,LCGP,500,4,3,3,1596561443,3172191619,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,10.609025167010259,0.28019283298635855,43.75395206505957,0.968,103.81088315872005,22.72756191828936,
run_1193430848,borehole,OILMM,500,4,3,3,1596561443,2416496902,ok,,3.838117958046496,0.0421732910326682,44.30982983010727,0.938,95.95411030821627,23.26662162510618,
run_1193430848,borehole,LCGP,500,4,3,4,1146485240,285764518,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,33.54034495900851,0.29083870799513534,40.4824487968684,0.973,119.66120960249316,24.28117724382414,
run_1193430848,borehole,OILMM,500,4,3,4,1146485240,178453631,ok,,5.438094458018895,0.0425431250478141,43.824608575855265,0.945,116.94606112236221,24.74288579024863,
run_1193430848,borehole,LCGP,500,4,3,5,1666077932,3943609564,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.908261250006035,0.27880758297396824,57.538073267604034,0.99,186.92452844184223,26.119266087118255,
run_1193430848,borehole,OILMM,500,4,3,5,1666077932,2804331950,ok,,4.54136416700203,0.04223666701000184,64.05280299604459,0.951,169.4895641646594,26.771552050801898,
run_1193430848,borehole,LCGP,500,4,3,6,2340791350,2981258480,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,19.15576983295614,0.2801439170143567,53.651177304705946,0.975,162.58624207831062,25.92216584602638,
run_1193430848,borehole,OILMM,500,4,3,6,2340791350,223150585,ok,,5.845835749991238,0.0449126249877736,57.55680952278297,0.947,144.68665995470408,26.39385460878665,
run_1193430848,borehole,LCGP,500,4,3,7,1617733294,3805666544,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.87050233304035,0.28189070796361193,25.576591853214346,0.986,92.39508141963482,24.98547988821722,
run_1193430848,borehole,OILMM,500,4,3,7,1617733294,488593190,ok,,4.443380040989723,0.042956416960805655,27.385446617929745,0.94,81.99897662920158,25.61574218194837,
run_1193430848,borehole,LCGP,500,4,3,8,1160911002,3381413657,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,21.604236542014405,0.2815697499900125,28.094105546246187,0.967,91.6467956095106,24.59644995260797,
run_1193430848,borehole,OILMM,500,4,3,8,1160911002,150412917,ok,,5.12114974996075,0.04446383297909051,32.33719742300264,0.929,82.3815436692725,25.54093140412783,
run_1193430848,borehole,LCGP,500,4,3,9,1314532863,2929740061,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,38.010758041986264,0.284358249977231,31.042537862357165,0.974,102.74976831366014,23.967789707248418,
run_1193430848,borehole,OILMM,500,4,3,9,1314532863,789884804,ok,,4.9518183750333264,0.04261079098796472,32.31942583564432,0.937,90.83790522582696,24.501309922314878,
run_1193430848,borehole,LCGP,500,4,3,10,2607539236,3138790588,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,15.508140082994942,0.28672220796579495,39.539629424385346,0.977,116.50156591625668,23.60366874091441,
run_1193430848,borehole,OILMM,500,4,3,10,2607539236,3238218835,ok,,3.231930999958422,0.04230999998981133,40.89385377112185,0.938,103.9426634108921,23.89269842386758,
