run_id,function,method,n,p,q,rep,seed_data,seed_model,status,error,train_time_sec,pred_time_sec,nit,njev,nfev,rmse,coverage_95,interval_len_95,dss_diag,dss_full
run_2612629427,borehole,OILMM,100,20,5,1,1844676065,1843706977,ok,,19.549326083040796,0.0941706249723211,,,,71.27815388332873,0.9106,147.47148343203406,143.26043861264858,
run_2612629427,borehole,OILMM,100,20,5,2,4055242604,3804463498,ok,,26.914128875010647,0.08651279099285603,,,,45.45343369005866,0.9594,121.03398523701408,131.25345160207388,
run_2612629427,borehole,OILMM,100,20,5,3,432042567,465264787,ok,,19.589345249987673,0.07627012499142438,,,,48.872335081308215,0.9478,111.71324241202468,132.11893099727027,
run_2612629427,borehole,OILMM,100,20,5,4,1839524503,1471161506,ok,,22.641279333038256,0.054656082997098565,,,,52.54771645141505,0.9578,147.2366727029358,134.3101010361562,
run_2612629427,borehole,OILMM,100,20,5,5,4247332058,871723407,ok,,16.499798333039507,0.0466467080404982,,,,55.557685008441275,0.937,151.77559801480453,140.2788212259148,
run_2612629427,borehole,OILMM,200,20,5,1,540722212,1898489212,ok,,7.78670995804714,0.049129625025670975,,,,53.7668545923638,0.9154,103.74813982546837,133.0268834086843,
run_2612629427,borehole,OILMM,200,20,5,2,3410190269,2092549346,ok,,9.254542500013486,0.04731741698924452,,,,42.93459676623111,0.9274,113.6924386608883,132.22412849863585,
run_2612629427,borehole,OILMM,200,20,5,3,2445259142,3887679915,ok,,6.071578041999601,0.04597283300245181,,,,53.5438394073261,0.9284,105.14766570028951,130.35879866664942,
run_2612629427,borehole,OILMM,200,20,5,4,318133724,607368145,ok,,6.054645374999382,0.06312745797913522,,,,45.11165752033158,0.96,125.8915742943273,130.8337733910562,
run_2612629427,borehole,OILMM,200,20,5,5,229902005,3502096766,ok,,7.828684499952942,0.047163667040877044,,,,45.631404202353885,0.944,114.1485894578632,127.62777272156782,
run_2612629427,borehole,OILMM,400,20,5,1,1979532437,2674710733,ok,,3.179046000004746,0.05685454100603238,,,,40.353593966232566,0.925,97.74786269888926,125.82290516119895,
run_2612629427,borehole,OILMM,400,20,5,2,1148131310,1147902143,ok,,5.450637832982466,0.058959375019185245,,,,38.79266742127567,0.9334,92.07516767202935,122.0714267472501,
run_2612629427,borehole,OILMM,400,20,5,3,3300889123,3042736690,ok,,5.126923500036355,0.07662262499798089,,,,39.22787583035499,0.9324,95.2277825267688,123.19485681360283,
run_2612629427,borehole,OILMM,400,20,5,4,2031325400,3601785846,ok,,4.892690416018013,0.08526437502587214,,,,42.73097752147178,0.9306,95.27646056811507,124.88914031353097,
run_2612629427,borehole,OILMM,400,20,5,5,2759616510,2596518470,ok,,4.3120066249975935,0.07126766699366271,,,,38.944086745476994,0.9334,95.94854084047657,123.47771172036218,
run_2612629427,borehole,OILMM,800,20,5,1,1494324533,1158543710,ok,,7.898093708965462,0.09448324999539182,,,,32.33522571290461,0.9412,87.60999146671652,118.45588678073337,
run_2612629427,borehole,OILMM,800,20,5,2,3800119387,2434975711,ok,,9.560486916976515,0.09506754099857062,,,,36.045958277943924,0.936,91.08098541362988,120.63820733805461,
run_2612629427,borehole,OILMM,800,20,5,3,951976972,654308768,ok,,10.293619124975521,0.11816779198125005,,,,40.394038924899625,0.9404,96.27617839871421,120.65296810625503,
run_2612629427,borehole,OILMM,800,20,5,4,1844086971,3743277320,ok,,8.92661062499974,0.09379691601498052,,,,31.423501645077426,0.9404,83.71143361781259,117.7311070600607,
run_2612629427,borehole,OILMM,800,20,5,5,3969163022,3014686023,ok,,6.222895540995523,0.09443762502633035,,,,33.759535758265045,0.9446,91.68930190900512,120.54600885861038,
run_2612629427,borehole,OILMM,1600,20,5,1,1336073566,2230345000,ok,,40.67257387499558,0.2915436669718474,,,,36.80384386766134,0.9422,95.68981139836544,119.0359418897675,
run_2612629427,borehole,OILMM,1600,20,5,2,1161061322,4263591571,ok,,55.99511595896911,0.28638095798669383,,,,33.4850083984028,0.9528,89.73479336648464,116.75498373316177,
run_2612629427,borehole,OILMM,1600,20,5,3,2853283066,2052641800,ok,,93.21973437495762,0.38731733296299353,,,,36.55257377289139,0.9456,94.66740974950467,119.11097510763891,
run_2612629427,borehole,OILMM,1600,20,5,4,1494266259,2096603277,ok,,77.03666991600767,0.41444974998012185,,,,33.81789413551139,0.9494,90.5421279370565,116.67126945147834,
run_2612629427,borehole,OILMM,1600,20,5,5,3343142004,1040090057,ok,,39.81034845800605,0.37370312499115244,,,,35.51652639113413,0.9438,92.07154742489881,118.70319521480646,
