n_train,rep,seed,method,output,beta_type,beta_value,true_beta
25,1,20510322,OLS,1,trend,6.070927043406441,4.216267592457131
25,1,20510322,OLS,2,intercept,1.933184840647121,1.672539605803907
25,1,20510322,OLS,2,trend,6.459147134241764,7.108133796228586
25,1,20510322,OLS,3,intercept,-0.26239432125705203,-0.1760633692862555
25,1,20510322,OLS,3,trend,-8.353411734206297,-8.373014073965729
25,2,20510323,MOOGP,1,intercept,-2.1289344915817083,-1.6549207883921637
25,2,20510323,MOOGP,1,trend,6.211023933850656,4.216267592457131
25,2,20510323,MOOGP,2,intercept,1.6868240087651807,1.672539605803907
25,2,20510323,MOOGP,2,trend,7.439282068435637,7.108133796228586
25,2,20510323,MOOGP,3,intercept,-0.19596942288481678,-0.1760633692862555
25,2,20510323,MOOGP,3,trend,-8.335189789432565,-8.373014073965729
25,2,20510323,MOGP,1,intercept,-3.2108526569657125,-1.6549207883921637
25,2,20510323,MOGP,1,trend,12.906274353234402,4.216267592457131
25,2,20510323,MOGP,2,intercept,1.2568391359454738,1.672539605803907
25,2,20510323,MOGP,2,trend,10.196856711744902,7.108133796228586
25,2,20510323,MOGP,3,intercept,0.36046329159151114,-0.1760633692862555
25,2,20510323,MOGP,3,trend,-11.886784751321747,-8.373014073965729
25,2,20510323,OLS,1,intercept,-2.041972886214664,-1.6549207883921637
25,2,20510323,OLS,1,trend,6.051045417729873,4.216267592457131
25,2,20510323,OLS,2,intercept,1.7048903435608591,1.672539605803907
25,2,20510323,OLS,2,trend,7.4822634940206685,7.108133796228586
25,2,20510323,OLS,3,intercept,-0.22231994009599024,-0.1760633692862555
25,2,20510323,OLS,3,trend,-8.37212005853891,-8.373014073965729
25,3,20510324,MOOGP,1,intercept,-1.4832476578792368,-1.6549207883921637
25,3,20510324,MOOGP,1,trend,3.7081933447383424,4.216267592457131
25,3,20510324,MOOGP,2,intercept,1.7115023617756298,1.672539605803907
25,3,20510324,MOOGP,2,trend,6.915089960622486,7.108133796228586
25,3,20510324,MOOGP,3,intercept,0.07349045496847051,-0.1760633692862555
25,3,20510324,MOOGP,3,trend,-8.677552292530745,-8.373014073965729
25,3,20510324,MOGP,1,intercept,-3.2495471330792562,-1.6549207883921637
25,3,20510324,MOGP,1,trend,10.951979158402624,4.216267592457131
25,3,20510324,MOGP,2,intercept,1.1270574278035888,1.672539605803907
25,3,20510324,MOGP,2,trend,9.352748287596624,7.108133796228586
25,3,20510324,MOGP,3,intercept,1.1056043433737441,-0.1760633692862555
25,3,20510324,MOGP,3,trend,-12.963197180474788,-8.373014073965729
25,3,20510324,OLS,1,intercept,-1.629568132570357,-1.6549207883921637
25,3,20510324,OLS,1,trend,4.019477802944893,4.216267592457131
25,3,20510324,OLS,2,intercept,1.6793802403459908,1.672539605803907
25,3,20510324,OLS,2,trend,6.989256090687443,7.108133796228586
25,3,20510324,OLS,3,intercept,0.13821833658411395,-0.1760633692862555
25,3,20510324,OLS,3,trend,-8.822789802427495,-8.373014073965729
25,4,20510325,MOOGP,1,intercept,-2.101207647685444,-1.6549207883921637
25,4,20510325,MOOGP,1,trend,3.785962761769567,4.216267592457131
25,4,20510325,MOOGP,2,intercept,1.1864876377072746,1.672539605803907
25,4,20510325,MOOGP,2,trend,7.140607142373219,7.108133796228586
25,4,20510325,MOOGP,3,intercept,-0.15485879420815074,-0.1760633692862555
25,4,20510325,MOOGP,3,trend,-8.488788670718671,-8.373014073965729
25,4,20510325,MOGP,1,intercept,-2.2681512588464994,-1.6549207883921637
25,4,20510325,MOGP,1,trend,7.042126642284319,4.216267592457131
25,4,20510325,MOGP,2,intercept,1.0638861102670951,1.672539605803907
25,4,20510325,MOGP,2,trend,8.689930082786814,7.108133796228586
25,4,20510325,MOGP,3,intercept,0.008034025150225332,-0.1760633692862555
25,4,20510325,MOGP,3,trend,-10.669769307640067,-8.373014073965729
25,4,20510325,OLS,1,intercept,-2.3820718696312984,-1.6549207883921637
25,4,20510325,OLS,1,trend,4.8433446097533706,4.216267592457131
25,4,20510325,OLS,2,intercept,1.0560689552778175,1.672539605803907
25,4,20510325,OLS,2,trend,7.631601255095861,7.108133796228586
25,4,20510325,OLS,3,intercept,0.02839386360412713,-0.1760633692862555
25,4,20510325,OLS,3,trend,-9.178683785572042,-8.373014073965729
25,5,20510326,MOOGP,1,intercept,-3.211130149940579,-1.6549207883921637
25,5,20510326,MOOGP,1,trend,6.435573382858276,4.216267592457131
25,5,20510326,MOOGP,2,intercept,0.8805662679859285,1.672539605803907
25,5,20510326,MOOGP,2,trend,7.916309801334798,7.108133796228586
25,5,20510326,MOOGP,3,intercept,-0.2079541667817857,-0.1760633692862555
25,5,20510326,MOOGP,3,trend,-8.335212065584457,-8.373014073965729
25,5,20510326,MOGP,1,intercept,-2.7035980307543035,-1.6549207883921637
25,5,20510326,MOGP,1,trend,8.281721206277219,4.216267592457131
25,5,20510326,MOGP,2,intercept,1.1109743808714256,1.672539605803907
25,5,20510326,MOGP,2,trend,8.817794739555625,7.108133796228586
25,5,20510326,MOGP,3,intercept,-0.5929413036973514,-0.1760633692862555
25,5,20510326,MOGP,3,trend,-9.824213921397506,-8.373014073965729
25,5,20510326,OLS,1,intercept,-3.169525030097414,-1.6549207883921637
25,5,20510326,OLS,1,trend,6.516874923392449,4.216267592457131
25,5,20510326,OLS,2,intercept,0.8998287340213145,1.672539605803907
25,5,20510326,OLS,2,trend,7.953951057192505,7.108133796228586
25,5,20510326,OLS,3,intercept,-0.23964999004613025,-0.1760633692862555
25,5,20510326,OLS,3,trend,-8.397149494827028,-8.373014073965729
25,6,20510327,MOOGP,1,intercept,-2.8648342143647216,-1.6549207883921637
25,6,20510327,MOOGP,1,trend,4.423771714256699,4.216267592457131
25,6,20510327,MOOGP,2,intercept,2.0675407604029234,1.672539605803907
25,6,20510327,MOOGP,2,trend,6.875476110348532,7.108133796228586
25,6,20510327,MOOGP,3,intercept,-0.24431158025625965,-0.1760633692862555
25,6,20510327,MOOGP,3,trend,-8.235785914177402,-8.373014073965729
25,6,20510327,MOGP,1,intercept,-3.0957246493028125,-1.6549207883921637
25,6,20510327,MOGP,1,trend,6.091544621414314,4.216267592457131
25,6,20510327,MOGP,2,intercept,1.8560216429136425,1.672539605803907
25,6,20510327,MOGP,2,trend,8.425795924762756,7.108133796228586
25,6,20510327,MOGP,3,intercept,0.010631385122667147,-0.1760633692862555
25,6,20510327,MOGP,3,trend,-10.102694484861736,-8.373014073965729
25,6,20510327,OLS,1,intercept,-2.84169010471179,-1.6549207883921637
25,6,20510327,OLS,1,trend,4.4290642919306915,4.216267592457131
25,6,20510327,OLS,2,intercept,2.089854040873147,1.672539605803907
25,6,20510327,OLS,2,trend,6.8956054762158665,7.108133796228586
25,6,20510327,OLS,3,intercept,-0.27104884740606655,-0.1760633692862555
25,6,20510327,OLS,3,trend,-8.258589151130982,-8.373014073965729
25,7,20510328,MOOGP,1,intercept,-2.6501609293232073,-1.6549207883921637
25,7,20510328,MOOGP,1,trend,5.421972599962634,4.216267592457131
25,7,20510328,MOOGP,2,intercept,1.6284771293087137,1.672539605803907
25,7,20510328,MOOGP,2,trend,7.184348669372247,7.108133796228586
25,7,20510328,MOOGP,3,intercept,-0.17740810359115056,-0.1760633692862555
25,7,20510328,MOOGP,3,trend,-8.367442555773186,-8.373014073965729
25,7,20510328,MOGP,1,intercept,-2.5635047304302807,-1.6549207883921637
25,7,20510328,MOGP,1,trend,9.611092140327338,4.216267592457131
25,7,20510328,MOGP,2,intercept,1.6754837827037292,1.672539605803907
25,7,20510328,MOGP,2,trend,9.431287221908322,7.108133796228586
25,7,20510328,MOGP,3,intercept,-0.23930458853465542,-0.1760633692862555
25,7,20510328,MOGP,3,trend,-11.315127437292565,-8.373014073965729
25,7,20510328,OLS,1,intercept,-2.355851831876586,-1.6549207883921637
25,7,20510328,OLS,1,trend,4.709324727105664,4.216267592457131
25,7,20510328,OLS,2,intercept,1.7869042974211984,1.672539605803907
25,7,20510328,OLS,2,trend,6.800728911783491,7.108133796228586
25,7,20510328,OLS,3,intercept,-0.38553049834072717,-0.1760633692862555
25,7,20510328,OLS,3,trend,-7.863489472240949,-8.373014073965729
25,8,20510329,MOOGP,1,intercept,-0.8222203813335567,-1.6549207883921637
25,8,20510329,MOOGP,1,trend,3.59148879741675,4.216267592457131
25,8,20510329,MOOGP,2,intercept,1.8430879541371872,1.672539605803907
25,8,20510329,MOOGP,2,trend,6.324361588009125,7.108133796228586
25,8,20510329,MOOGP,3,intercept,-0.3819866387404698,-0.1760633692862555
25,8,20510329,MOOGP,3,trend,-8.047860710254103,-8.373014073965729
25,8,20510329,MOGP,1,intercept,-1.5623603736565346,-1.6549207883921637
25,8,20510329,MOGP,1,trend,8.92249236791832,4.216267592457131
25,8,20510329,MOGP,2,intercept,1.469459270067638,1.672539605803907
25,8,20510329,MOGP,2,trend,9.021799901418579,7.108133796228586
25,8,20510329,MOGP,3,intercept,0.13114518469622727,-0.1760633692862555
25,8,20510329,MOGP,3,trend,-11.749610269524013,-8.373014073965729
25,8,20510329,OLS,1,intercept,-0.5731260065001968,-1.6549207883921637
25,8,20510329,OLS,1,trend,3.0599358748768593,4.216267592457131
25,8,20510329,OLS,2,intercept,1.9697922591450219,1.672539605803907
25,8,20510329,OLS,2,trend,6.053981965351204,7.108133796228586
25,8,20510329,OLS,3,intercept,-0.5554539476943232,-0.1760633692862555
25,8,20510329,OLS,3,trend,-7.6776915434518065,-8.373014073965729
25,9,20510330,MOOGP,1,intercept,-1.745734233274343,-1.6549207883921637
25,9,20510330,MOOGP,1,trend,3.339299187480568,4.216267592457131
25,9,20510330,MOOGP,2,intercept,1.3398047169197262,1.672539605803907
25,9,20510330,MOOGP,2,trend,7.925877606629138,7.108133796228586
25,9,20510330,MOOGP,3,intercept,-0.27516322734688714,-0.1760633692862555
25,9,20510330,MOOGP,3,trend,-8.219215344186553,-8.373014073965729
25,9,20510330,MOGP,1,intercept,-0.9274607285206122,-1.6549207883921637
25,9,20510330,MOGP,1,trend,5.892042382754947,4.216267592457131
25,9,20510330,MOGP,2,intercept,1.7762222362297972,1.672539605803907
25,9,20510330,MOGP,2,trend,8.752645316027007,7.108133796228586
