run_id,function,method,n,p,rep,seed_data,seed_model,status,error,train_time_sec,pred_time_sec,rmse,coverage_95,interval_len_95,dss_diag,dss_full
run_2206900869,borehole,MOGP,10,5,3,878760974,925448284,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.014459458994679,0.9977972079941537,62.621271341266834,0.8512,92.06698655384592,50.72413342651245,
run_2206900869,borehole,MOOGP,10,5,3,878760974,2253712745,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9.759351749991765,0.08700333299930207,64.33809686003183,0.772,96.62922732741806,71.98302280534078,
run_2206900869,borehole,MOOGP,10,5,2,2392158425,1205372839,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,14.70989241701318,0.24936320798587985,94.88758218309454,0.4672,87.19932536395088,154.8734632978514,
run_2206900869,borehole,MOGP,10,5,4,2210859398,508736828,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,5.413160500000231,0.0015771659964229912,126.56807927816547,0.8936,287.06660034114407,44.23361920571643,
run_2206900869,borehole,MOGP,10,5,5,1982586255,983955866,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.412423583009513,0.003370874997926876,130.15364593336878,0.8856,256.7947331007447,44.640601835397895,
run_2206900869,borehole,MOOGP,10,5,1,1946476698,2718568861,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,19.433433124999283,0.48769679199904203,109.39880556621038,0.8896,160.66191616989158,41.069374203256174,
run_2206900869,borehole,MOOGP,10,5,4,2210859398,2537425358,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,15.376604499993846,0.06389058398781344,136.0301449178169,0.872,291.1938567203251,44.94034798136913,
run_2206900869,borehole,MOOGP,10,5,5,1982586255,1932076833,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,8.702428624994354,0.009715833002701402,131.63242484701468,0.8672,269.448633187258,45.45929292034383,
run_1709503798,borehole,MOGP,100,4,1,684057654,2526912889,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,66.8983879579755,0.10567466600332409,85.9306585583062,0.965,163.28100967515678,27.251914266149402,
run_1709503798,borehole,MOOGP,100,4,1,684057654,2202405548,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,73.7704730000114,0.16443175001768395,86.28420120741139,0.964,162.7734929620637,27.23939565455658,
run_1709503798,borehole,MOOGP,100,4,3,107779220,3839519862,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,52.01764175001881,0.10395487499772571,176.8277493168051,0.951,308.8211401247048,28.214007922757578,
run_1709503798,borehole,MOGP,100,4,3,107779220,478476804,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,47.842398375010816,0.10333645899663679,177.26973818789628,0.952,309.227769606655,28.203519643775458,
run_1709503798,borehole,MOGP,100,4,2,1352904096,3967725418,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,160.75869366701227,0.12519141598022543,64.07931791812815,0.966,200.16534666356293,31.826403101095273,
run_1709503798,borehole,MOOGP,100,4,2,1352904096,1918976719,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,163.04293066699756,0.12022770900512114,65.3585183062142,0.965,200.9760428428239,31.85588062334797,
run_1709503798,borehole,MOOGP,100,4,4,725700532,1759130549,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,61.05519391602138,0.17379179102135822,106.9541802086393,0.938,176.3462162452255,26.92108185961812,
run_1709503798,borehole,MOGP,100,4,4,725700532,3335060454,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,58.97527562500909,0.12129958299919963,107.71280157448027,0.94,177.116210614469,26.87195705812876,
run_1709503798,borehole,MOGP,100,4,5,1391228884,1512284588,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20.524159249995137,0.04772258398588747,120.30616528376113,0.97,229.839099141962,28.56275857066486,
run_1709503798,borehole,MOOGP,100,4,5,1391228884,119542370,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,23.239281291986117,0.0147528339875862,119.09850104591725,0.969,229.77373009652877,28.5547126542273,
