1.014000000000000057e+01,1.638000000000000012e-01,9.589999999999999636e-01,6.035000000000000364e-01,1.610700000000000021e+00,1.632899999999999907e-01,1.845700000000000118e-01,1.382500000000000118e-01,-1.516999999999999904e+00,-7.690000000000000169e-01,6.927999999999999436e-02,2.479800000000000060e-01,6.312500000000000056e-02,2.447999999999999898e-01,3.790999999999999925e-01
1.074000000000000021e+01,-1.161999999999999977e-01,1.169000000000000039e+00,1.521500000000000075e+00,6.280999999999999917e-01,1.356300000000000006e-01,1.777700000000000113e-01,1.348300000000000054e-01,-1.528999999999999915e+00,1.588999999999999968e+00,1.475200000000000122e-01,1.892999999999999960e-01,1.063749999999999973e-01,-6.992000000000000437e-01,5.960999999999999632e-01
1.114000000000000057e+01,-4.340000000000000108e-02,1.114999999999999991e+00,1.538499999999999979e+00,6.791000000000000369e-01,1.515299999999999980e-01,1.451300000000000090e-01,9.227000000000000479e-02,3.130000000000000004e-01,-2.710000000000000187e-01,2.396800000000000042e-01,2.109000000000000041e-01,3.012499999999999900e-02,-2.320000000000000118e-01,6.983000000000000318e-01
1.122000000000000064e+01,-1.610000000000000042e-01,1.016999999999999904e+00,1.582699999999999996e+00,1.280899999999999928e+00,1.444499999999999951e-01,1.716499999999999970e-01,1.876500000000000112e-01,7.089999999999999636e-01,3.589999999999999858e-01,1.062400000000000011e-01,1.392599999999999949e-01,1.146250000000000047e-01,6.832000000000000295e-01,6.254999999999999449e-01
1.169999999999999929e+01,4.998000000000000220e-01,1.383000000000000007e+00,6.629999999999999782e-02,1.665100000000000025e+00,1.570499999999999952e-01,2.138100000000000001e-01,7.441000000000000392e-02,-1.970000000000000084e-01,1.108999999999999986e+00,1.609599999999999920e-01,1.565400000000000125e-01,8.237500000000000377e-02,-7.408000000000000140e-01,7.711000000000000076e-01
1.233999999999999986e+01,-5.445999999999999730e-01,1.044999999999999929e+00,7.649999999999999856e-02,5.464999999999999858e-01,1.509300000000000086e-01,2.586899999999999755e-01,8.884999999999999842e-02,-1.745000000000000107e+00,1.391000000000000014e+00,6.303999999999999881e-02,2.155799999999999939e-01,1.298749999999999905e-01,-6.159999999999999920e-01,6.381000000000000005e-01
1.241999999999999993e+01,-6.006000000000000227e-01,8.509999999999999787e-01,3.961000000000000076e-01,9.171000000000000263e-01,1.583700000000000108e-01,2.705899999999999972e-01,1.830900000000000027e-01,-6.830000000000000515e-01,-6.670000000000000373e-01,2.339199999999999890e-01,2.328600000000000114e-01,1.151250000000000051e-01,1.648000000000000020e-01,8.383000000000000451e-01
1.290000000000000036e+01,-2.813999999999999835e-01,1.358999999999999986e+00,1.269900000000000029e+00,4.343000000000000194e-01,1.482300000000000006e-01,2.668499999999999761e-01,1.154499999999999971e-01,-2.810000000000000275e-01,1.549999999999999989e-01,6.063999999999999946e-02,2.990999999999999770e-01,7.262499999999999512e-02,-1.423999999999999988e-01,9.713000000000000522e-01
1.330000000000000071e+01,-4.577999999999999847e-01,1.227000000000000091e+00,3.451000000000000179e-01,1.223100000000000076e+00,1.467299999999999993e-01,1.509099999999999886e-01,1.192499999999999949e-01,-1.066999999999999948e+00,1.792999999999999927e+00,2.127999999999999892e-01,2.393399999999999972e-01,1.341249999999999942e-01,6.096000000000000307e-01,8.705000000000000515e-01
1.374000000000000021e+01,3.961999999999999966e-01,1.066999999999999948e+00,4.267000000000000237e-01,1.984699999999999909e+00,1.427100000000000035e-01,2.158499999999999863e-01,1.937300000000000133e-01,4.390000000000000013e-01,-3.609999999999999876e-01,1.523200000000000109e-01,2.901000000000000245e-01,7.587499999999999800e-02,2.800000000000000266e-01,9.026999999999999469e-01
1.406000000000000050e+01,-1.749999999999999889e-01,7.830000000000000293e-01,5.100000000000000366e-03,7.776999999999999469e-01,1.416900000000000104e-01,1.692700000000000038e-01,5.009000000000000258e-02,5.230000000000000204e-01,-7.329999999999999849e-01,1.287999999999999978e-01,1.680599999999999872e-01,1.301249999999999907e-01,-3.632000000000000228e-01,4.994999999999999996e-01
1.461999999999999922e+01,1.778000000000000136e-01,5.749999999999999556e-01,1.297099999999999920e+00,1.648099999999999898e+00,1.498500000000000110e-01,1.577099999999999891e-01,9.872999999999999832e-02,-1.852999999999999980e+00,5.689999999999999503e-01,3.760000000000000148e-02,1.608600000000000030e-01,1.043749999999999956e-01,-8.799999999999999489e-02,9.391000000000000458e-01
1.514000000000000057e+01,-6.201999999999999735e-01,1.471000000000000085e+00,9.536999999999999922e-01,1.029300000000000104e+00,1.542300000000000060e-01,2.440700000000000092e-01,1.557300000000000073e-01,5.889999999999999680e-01,-8.830000000000000071e-01,8.175999999999999934e-02,1.990200000000000025e-01,8.687499999999999389e-02,-4.143999999999999906e-01,3.230999999999999983e-01
1.605999999999999872e+01,1.399999999999900022e-03,8.850000000000000089e-01,6.714999999999999858e-01,3.594999999999999862e-01,1.607699999999999962e-01,2.773900000000000254e-01,1.922099999999999920e-01,3.669999999999999929e-01,1.864999999999999991e+00,1.052799999999999986e-01,1.709400000000000086e-01,5.762500000000000261e-02,1.760000000000010167e-02,5.120999999999999996e-01
1.657999999999999829e+01,-4.199999999999899994e-03,8.289999999999999591e-01,1.444999999999999896e-01,1.185699999999999976e+00,1.461899999999999866e-01,1.879699999999999982e-01,1.105099999999999971e-01,8.950000000000000178e-01,8.689999999999999947e-01,1.719999999999999862e-01,1.266599999999999948e-01,3.512500000000000344e-02,7.568000000000000282e-01,8.508999999999999897e-01
1.685999999999999943e+01,1.386000000000000010e-01,8.709999999999999964e-01,2.295000000000000095e-01,1.756899999999999906e+00,1.380300000000000138e-01,2.522300000000000098e-01,2.083000000000000129e-02,2.230000000000000038e-01,1.481000000000000094e+00,2.032000000000000126e-02,2.253000000000000003e-01,9.262499999999999900e-02,-4.960000000000010234e-02,8.830999999999999961e-01
1.746000000000000085e+01,4.340000000000000108e-02,1.336999999999999966e+00,7.123000000000000442e-01,9.613000000000000433e-01,1.610699999999999910e-01,2.804499999999999771e-01,2.804999999999999855e-02,-1.127000000000000002e+00,1.649000000000000021e+00,2.200000000000000011e-01,2.555399999999999894e-01,4.262500000000000316e-02,-1.600000000000000077e-03,3.916999999999999926e-01
1.826000000000000156e+01,-2.730000000000000204e-01,1.153000000000000025e+00,1.606500000000000039e+00,1.954099999999999948e+00,1.584899999999999920e-01,1.502300000000000024e-01,3.223000000000000170e-02,-6.710000000000000409e-01,-1.449999999999999900e-01,1.897600000000000120e-01,2.828999999999999848e-01,1.183749999999999941e-01,2.096000000000000085e-01,6.633000000000000007e-01
1.869999999999999929e+01,-6.705999999999999739e-01,9.689999999999999725e-01,1.139000000000000012e-01,8.286999999999999922e-01,1.573499999999999899e-01,1.621299999999999963e-01,1.209000000000000005e-02,1.630000000000000060e-01,6.590000000000000302e-01,1.249600000000000016e-01,2.886600000000000277e-01,5.262499999999999817e-02,3.343999999999999750e-01,7.500999999999999890e-01
1.898000000000000043e+01,7.980000000000009308e-02,1.096999999999999975e+00,2.023000000000000076e-01,4.615000000000000213e-01,1.648499999999999965e-01,2.644699999999999829e-01,3.755000000000000004e-02,1.000000000000299911e-03,-4.450000000000000067e-01,4.143999999999999767e-02,1.554599999999999871e-01,1.006250000000000061e-01,4.304000000000000048e-01,7.949000000000000510e-01
1.994000000000000128e+01,4.410000000000000031e-01,1.377000000000000002e+00,5.286999999999999478e-01,1.811299999999999910e+00,1.428300000000000125e-01,2.886099999999999777e-01,6.339000000000000190e-02,-1.235000000000000098e+00,-8.709999999999999964e-01,1.816000000000000114e-01,2.627399999999999736e-01,9.237499999999999878e-02,-3.247999999999999776e-01,5.386999999999999567e-01
2.001999999999999957e+01,-3.178000000000000269e-01,1.137000000000000011e+00,1.334500000000000020e+00,5.975000000000000311e-01,1.373099999999999876e-01,2.396500000000000019e-01,3.527000000000000274e-02,-1.625000000000000000e+00,-1.990000000000000102e-01,5.680000000000000326e-02,1.435800000000000132e-01,9.987500000000000544e-02,7.344000000000000528e-01,5.568999999999999506e-01
